date,number_of_checks-no_verification,count-nombre
2021-08-12,7-12,<20
2021-08-12,13-30,<20
2021-08-12,30+,<20
2021-08-13,0,<20
2021-08-13,1-6,<20
2021-08-13,7-12,<20
2021-08-13,13-30,<20
2021-08-13,30+,<20
2021-08-14,0,<20
2021-08-14,1-6,<20
2021-08-14,7-12,<20
2021-08-14,13-30,<20
2021-08-14,30+,<20
2021-08-15,0,<20
2021-08-15,1-6,<20
2021-08-15,7-12,<20
2021-08-15,13-30,<20
2021-08-15,30+,<20
2021-08-16,0,<20
2021-08-16,1-6,<20
2021-08-16,7-12,<20
2021-08-16,13-30,<20
2021-08-16,30+,<20
2021-08-17,0,<20
2021-08-17,1-6,<20
2021-08-17,7-12,<20
2021-08-17,13-30,<20
2021-08-17,30+,<20
2021-08-18,0,<20
2021-08-18,1-6,<20
2021-08-18,7-12,<20
2021-08-18,13-30,<20
2021-08-18,30+,<20
2021-08-19,0,<20
2021-08-19,1-6,<20
2021-08-19,7-12,<20
2021-08-19,13-30,<20
2021-08-19,30+,<20
2021-08-20,0,<20
2021-08-20,1-6,<20
2021-08-20,7-12,<20
2021-08-20,13-30,<20
2021-08-20,30+,<20
2021-08-21,0,<20
2021-08-21,1-6,<20
2021-08-21,7-12,<20
2021-08-21,13-30,<20
2021-08-21,30+,<20
2021-08-22,0,<20
2021-08-22,1-6,<20
2021-08-22,7-12,<20
2021-08-22,13-30,<20
2021-08-22,30+,<20
2021-08-23,0,<20
2021-08-23,1-6,<20
2021-08-23,7-12,<20
2021-08-23,13-30,<20
2021-08-23,30+,<20
2021-08-24,0,<20
2021-08-24,1-6,<20
2021-08-24,7-12,<20
2021-08-24,13-30,<20
2021-08-24,30+,<20
2021-08-25,0,<20
2021-08-25,1-6,<20
2021-08-25,7-12,<20
2021-08-25,13-30,<20
2021-08-25,30+,<20
2021-08-26,0,<20
2021-08-26,1-6,<20
2021-08-26,7-12,<20
2021-08-26,13-30,<20
2021-08-26,30+,<20
2021-08-27,0,<20
2021-08-27,1-6,<20
2021-08-27,7-12,<20
2021-08-27,13-30,<20
2021-08-27,30+,<20
2021-08-28,0,<20
2021-08-28,1-6,<20
2021-08-28,7-12,<20
2021-08-28,13-30,<20
2021-08-28,30+,<20
2021-08-29,0,<20
2021-08-29,1-6,<20
2021-08-29,7-12,<20
2021-08-29,13-30,<20
2021-08-29,30+,<20
2021-08-30,0,<20
2021-08-30,1-6,<20
2021-08-30,7-12,<20
2021-08-30,13-30,<20
2021-08-30,30+,<20
2021-08-31,0,<20
2021-08-31,1-6,<20
2021-08-31,7-12,<20
2021-08-31,13-30,<20
2021-08-31,30+,<20
2021-09-01,0,<20
